0 V_PROP_FIRE_IN_PBL V_PROP_FIRE_IN_PBL_P1 V_PROP_FIRE_IN_PBL_P2 V_SCALE_BC_RAD_NI V_SCALE_DRYDEP_ACC V_SCALE_DRYDEP_AIT V_SCALE_DRYDEP_COA V_SCALE_EMI_BB V_SCALE_EMI_BF V_SCALE_EMI_CMR_BB V_SCALE_EMI_CMR_BF V_SCALE_EMI_CMR_FF V_SCALE_EMI_DMS V_SCALE_EMI_FF V_SCALE_INTER_MODE_COAGULATION V_SCALE_INTRA_MODE_COAGULATION V_SCALE_NUC_BL V_SCALE_NUC_FT V_SCALE_SO4_COATING V_SCALE_TR_ENTRAINMENT V_SCALE_VERTICAL_VELOCITY V_SCALE_WETDEP_BC V_SCALE_WETDEP_BC_BC_ONLY V_SCALE_WETDEP_IC V_SCALE_WETDEP_IC_BC_ONLY INSTALL START END
exp4_low_wetdep 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.5 1 0.5 1 1 1 0
exp4_low_cmr_bb 0.75 0.17 0.08 1 1 1 1 1 1 0.3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_high_cmr_bb 0.75 0.17 0.08 1 1 1 1 1 1 1.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_fast_ageing 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.3 1 1 1 1 1 1 1 1 0
exp4_slow_ageing 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 1 1 1 0
exp4_less_dry_dep_ait 0.75 0.17 0.08 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_more_dry_dep_ait 0.75 0.17 0.08 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_less_dry_dep_acc 0.75 0.17 0.08 1 0.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_more_dry_dep_acc 0.75 0.17 0.08 1 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
exp4_high_wetdep 0.75 0.17 0.08 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 0
